"","id","user_id","quality_grade","latitude","longitude","species","scientific_name"
"179",975331,58290,"research",-41.23519825,174.8757887,"Kaka","Nestor meridionalis"
"180",975351,58290,"research",-41.24921127,174.889844,"Kaka","Nestor meridionalis"
"181",975604,58524,"casual",-39.09331429,175.7759718,"Kaka","Nestor meridionalis septentrionalis"
"182",976501,57754,"casual",-41.23688658,174.7158209,"Kaka","Nestor meridionalis"
"183",978014,24606,"research",-41.37065682,174.6978228,"Kaka","Nestor meridionalis septentrionalis"
"184",984939,58589,"casual",-39.00974865,175.7259926,"Kaka","Nestor meridionalis septentrionalis"
"185",984940,58589,"casual",-39.00855857,175.639902,"Kaka","Nestor meridionalis septentrionalis"
"186",985550,30139,"research",-46.93014648,168.2268894,"Kaka","Nestor meridionalis meridionalis"
"187",985737,57408,"casual",-41.24473603,174.8252469,"Kaka","Nestor meridionalis septentrionalis"
"188",985739,57408,"casual",-41.37959572,174.7431139,"Kaka","Nestor meridionalis septentrionalis"
"189",987684,57779,"research",-41.24910484,174.6686092,"Kaka","Nestor meridionalis septentrionalis"
"190",987775,24606,"casual",-41.27218441,174.7537434,"Kaka","Nestor meridionalis septentrionalis"
"191",989357,58758,"research",-41.25989915,174.6414636,"Kaka","Nestor meridionalis"
"192",990754,58758,"research",-41.33122843,174.6793519,"Kaka","Nestor meridionalis"
"193",990913,53219,"research",-46.91748935,168.0332834,"Kaka","Nestor meridionalis"
"194",991060,58758,"research",-41.31169505,174.8461435,"Kaka","Nestor meridionalis"
"195",991586,58758,"casual",-41.28275449,174.6540164,"Kaka","Nestor meridionalis"
"196",991662,58909,"casual",-41.35898882,174.7466305,"Kaka","Nestor meridionalis"
"197",991699,58909,"research",-41.27464026,174.7020502,"Kaka","Nestor meridionalis"
"198",991700,58909,"research",-41.26841859,174.8510575,"Kaka","Nestor meridionalis"
"199",991701,58909,"research",-41.38351588,174.7592182,"Kaka","Nestor meridionalis"
"200",991702,58909,"research",-41.26158049,174.7450681,"Kaka","Nestor meridionalis"
"201",992230,58909,"research",-41.25682073,174.7282484,"Kaka","Nestor meridionalis"
"202",992724,58909,"casual",-41.21345215,174.7808069,"Kaka","Nestor meridionalis"
"203",995833,58909,"research",-41.28167454,174.8227681,"Kaka","Nestor meridionalis"
"204",996163,58208,"research",-46.92863509,168.1305687,"Kaka","Nestor meridionalis meridionalis"
"205",997532,57585,"research",-41.24525151,174.7058051,"Kaka","Nestor meridionalis"
"206",997730,58909,"casual",-41.35402715,174.7724349,"Kaka","Nestor meridionalis"
"207",997745,58909,"research",-41.23389385,174.7154928,"Kaka","Nestor meridionalis"
"208",997746,58909,"research",-41.32970801,174.7538645,"Kaka","Nestor meridionalis"
"209",997747,58909,"research",-41.30949694,174.6314731,"Kaka","Nestor meridionalis septentrionalis"
"210",997923,58909,"research",-41.30448875,174.8475665,"Kaka","Nestor meridionalis"
"211",997925,58909,"research",-41.32746848,174.6957646,"Kaka","Nestor meridionalis"
"212",997926,58909,"research",-41.32086575,174.8041345,"Kaka","Nestor meridionalis"
"213",997962,59006,"casual",-35.80636466,174.6458237,"Kaka","Nestor meridionalis"
"214",998076,58841,"casual",-36.43944968,174.7173554,"Kaka","Nestor meridionalis septentrionalis"
"215",998244,58909,"casual",-41.25465251,174.6662171,"Kaka","Nestor meridionalis"
"216",998245,58909,"casual",-41.29620259,174.8080413,"Kaka","Nestor meridionalis"
"217",998472,56952,"research",-41.29133444,174.8801364,"Kaka","Nestor meridionalis"
"218",998479,56952,"research",-41.25353018,174.7745903,"Kaka","Nestor meridionalis"
"219",999391,16490,"research",-41.23798194,174.7202596,"Kaka","Nestor meridionalis"
"220",999415,24606,"casual",-41.24685776,174.8765299,"Kaka","Nestor meridionalis septentrionalis"
