id,observed_on,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_method,positioning_device,place_town_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
947388,20/11/12,,57672,trakabat,2012-11-22 02:52:34 UTC,2014-12-07 08:22:02 UTC,casual,CC-BY,http://www.inaturalist.org/observations/947388,,Heard kaka in the area around the lake,0,0,FALSE,,lake daniells,-42.22102589,172.3166977,,,,,,South Island Kaka,Nestor meridionalis meridionalis,South Island Kaka,Aves,413490
947427,15/11/12,,57514,jamesmortimer,2012-11-22 08:38:34 UTC,2014-10-18 01:04:51 UTC,research,CC-BY,http://www.inaturalist.org/observations/947427,http://static.inaturalist.org/photos/1201302/medium.?1413265765,,1,0,FALSE,,Waitutu Forest,-46.21683361,167.1850844,,,,,,kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
947617,18/11/12,,57739,gailtv,2012-11-28 07:08:35 UTC,2014-10-13 02:32:04 UTC,casual,CC-BY,http://www.inaturalist.org/observations/947617,,"Chatting with us, perched in a tree, while we ate lunch.  We have also seen kaka in about the same place on the ridgeline in 2009",0,0,FALSE,,"Mt Richmond Forest Park, Marlborough, New Zealand",-41.48406975,173.5223891,200,,,,,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
948971,18/12/12,,57514,jamesmortimer,2013-01-01 08:52:35 UTC,2014-10-13 02:34:51 UTC,casual,CC-BY,http://www.inaturalist.org/observations/948971,,Flying overhead.,0,0,FALSE,,Fiordland,-45.17711384,167.1341324,,,,,,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
949309,28/12/12,,57735,pimlem,2013-01-10 00:42:01 UTC,2014-10-13 02:35:32 UTC,casual,CC-BY,http://www.inaturalist.org/observations/949309,,,0,0,FALSE,,,-47.00953247,168.1677525,,,,,,South Island Kaka,Nestor meridionalis meridionalis,South Island Kaka,Aves,413490
950876,8/02/13,,57627,josh-reid,2013-02-08 06:25:47 UTC,2014-10-13 02:38:37 UTC,casual,CC-BY,http://www.inaturalist.org/observations/950876,,Kaka flying over hut in the evenings to roost in trees ,0,0,FALSE,,15â€“18 Hunters Road,-42.34768129,172.1991047,10,,,,,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
952826,16/02/13,,57694,michaelmozzie,2013-02-19 09:00:52 UTC,2014-10-18 01:08:56 UTC,research,CC-BY,http://www.inaturalist.org/observations/952826,http://static.inaturalist.org/photos/1204916/medium.?1413274134,,1,0,FALSE,,"Maungatautari, Southern Enclosure",-38.09673325,175.6079262,,,,,,North Island Kaka (Subspecies Nestor meridionalis septentrionalis),Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
952949,7/04/12,,13200,d_kluza,2013-02-22 04:08:18 UTC,2014-10-18 01:09:06 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/952949,http://farm6.static.flickr.com/5194/6952355742_33d12e18f3.jpg,,1,0,FALSE,,"Kapiti Island, New Zealand",-40.89658291,175.0101815,,,,,,North Island Kaka,Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
954613,17/02/13,,53219,nikbaines,2013-03-09 10:14:05 UTC,2014-10-18 01:10:59 UTC,research,CC-BY,http://www.inaturalist.org/observations/954613,http://static.inaturalist.org/photos/1206599/medium.?1413278982,,2,0,FALSE,,"Deep Bay, Stewart Island, New Zealand",-46.90655861,168.0226538,,,,,,South Island Kaka,Nestor meridionalis meridionalis,South Island Kaka,Aves,413490
955827,22/04/09,,58096,dubh,2013-03-19 03:04:02 UTC,2014-10-18 01:12:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/955827,http://farm4.static.flickr.com/3641/3465380726_351e95c075.jpg,3pm is supplementary feeding time at Mt Bruce.,1,0,FALSE,,"Mount Bruce, Wellington, New Zealand",-40.74943234,175.724744,,,,,,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
